filename,label,region,region_name,location_name,dfo_date,scene_date,scene_id,lat,lon,cloud_cover,days_from_spawn,spawn_length_m,spawn_width_m,survey_method,spawn_score
A27_2016-01-31_50.518014_-128.020206.png,no-spawn,A27,Area 27,Winter Hrbr,2016-02-22,2016-01-31,S2A_MSIL2A_20160131T194642_R042_T09UWR_20210528T005249,50.518014,-128.020206,16.694996,22,0,0,Incomplete,
A27_2016-03-31_50.481111_-128.042222.png,no-spawn,A27,Area 27,Matthews Is,2016-03-15,2016-03-31,S2A_MSIL2A_20160331T194312_R042_T09UWS_20210211T010021,50.481111,-128.042222,45.042283,16,700.0,30.0,Dive,
A27_2016-03-31_50.483056_-128.051389.png,no-spawn,A27,Area 27,North Hrbr,2016-03-15,2016-03-31,S2A_MSIL2A_20160331T194312_R042_T09UWS_20210211T010021,50.483056,-128.051389,45.042283,16,525.0,27.5,Dive,
A27_2016-03-31_50.486944_-128.033611.png,no-spawn,A27,Area 27,Forward Inlt,2016-03-15,2016-03-31,S2A_MSIL2A_20160331T194312_R042_T09UWS_20210211T010021,50.486944,-128.033611,45.042283,16,2100.0,66.0,Dive,
A27_2016-03-31_50.490278_-128.047778.png,no-spawn,A27,Area 27,Flint Rk,2016-03-15,2016-03-31,S2A_MSIL2A_20160331T194312_R042_T09UWS_20210211T010021,50.490278,-128.047778,45.042283,16,450.0,61.5,Dive,
A27_2016-03-31_50.496111_-128.071667.png,no-spawn,A27,Area 27,Browning Inlt,2016-03-15,2016-03-31,S2A_MSIL2A_20160331T194312_R042_T09UWS_20210211T010021,50.496111,-128.071667,45.042283,16,1650.0,120.2,Dive,
A27_2016-03-31_50.503681_-128.029576.png,no-spawn,A27,Area 27,Hazard Pt,2016-03-15,2016-03-31,S2A_MSIL2A_20160331T194312_R042_T09UWS_20210211T010021,50.503681,-128.029576,45.042283,16,2800.0,84.11111111111111,Dive,
A27_2016-03-31_50.51_-128.018889.png,no-spawn,A27,Area 27,Quashtin Cr,2016-03-15,2016-03-31,S2A_MSIL2A_20160331T194312_R042_T09UWS_20210211T010021,50.51,-128.018889,45.042283,16,700.0,8.0,Dive,
A27_2016-03-31_50.531389_-128.023056.png,no-spawn,A27,Area 27,Galato Cr,2016-03-15,2016-03-31,S2A_MSIL2A_20160331T194312_R042_T09UWS_20210211T010021,50.531389,-128.023056,45.042283,16,350.0,42.0,Dive,
A27_2018-03-03_50.33_-127.888333.png,spawn,A27,Area 27,Side Bay,2018-03-05,2018-03-03,S2B_MSIL2A_20180303T193309_R142_T09UWR_20201013T061246,50.33,-127.888333,1.539816,2,400.0,0,Incomplete,
A27_2018-03-03_50.481111_-128.042222.png,spawn,A27,Area 27,Matthews Is,2018-03-04,2018-03-03,S2B_MSIL2A_20180303T193309_R142_T09UWR_20201013T061246,50.481111,-128.042222,1.539816,1,1050.0,25.0,Dive,
A27_2018-03-03_50.483056_-128.051389.png,spawn,A27,Area 27,North Hrbr,2018-03-04,2018-03-03,S2B_MSIL2A_20180303T193309_R142_T09UWR_20201013T061246,50.483056,-128.051389,1.539816,1,2050.0,120.0,Dive,
A27_2018-03-03_50.486944_-128.033611.png,spawn,A27,Area 27,Forward Inlt,2018-03-04,2018-03-03,S2B_MSIL2A_20180303T193309_R142_T09UWR_20201013T061246,50.486944,-128.033611,1.539816,1,2075.0,67.6,Dive,
A27_2018-03-03_50.490278_-128.047778.png,spawn,A27,Area 27,Flint Rk,2018-03-04,2018-03-03,S2B_MSIL2A_20180303T193309_R142_T09UWR_20201013T061246,50.490278,-128.047778,1.539816,1,375.0,31.0,Dive,
A27_2018-03-03_50.496111_-128.071667.png,spawn,A27,Area 27,Browning Inlt,2018-03-04,2018-03-03,S2B_MSIL2A_20180303T193309_R142_T09UWR_20201013T061246,50.496111,-128.071667,1.539816,1,400.0,259.0,Dive,
A27_2019-03-18_50.486944_-128.033611.png,spawn,A27,Area 27,Forward Inlt,2019-03-12,2019-03-18,S2B_MSIL2A_20190318T193129_R142_T09UWR_20201007T080405,50.486944,-128.033611,0.057482,6,2050.0,55.8,Dive,
A27_2019-03-18_50.490278_-128.047778.png,spawn,A27,Area 27,Flint Rk,2019-03-12,2019-03-18,S2B_MSIL2A_20190318T193129_R142_T09UWR_20201007T080405,50.490278,-128.047778,0.057482,6,750.0,17.0,Dive,
A27_2019-03-18_50.496111_-128.071667.png,spawn,A27,Area 27,Browning Inlt,2019-03-12,2019-03-18,S2B_MSIL2A_20190318T193129_R142_T09UWR_20201007T080405,50.496111,-128.071667,0.057482,6,350.0,74.0,Dive,
A27_2019-03-18_50.503681_-128.029576.png,spawn,A27,Area 27,Hazard Pt,2019-03-12,2019-03-18,S2B_MSIL2A_20190318T193129_R142_T09UWR_20201007T080405,50.503681,-128.029576,0.057482,6,1750.0,62.0,Dive,
A27_2021-03-10_50.486944_-128.033611.png,no-spawn,A27,Area 27,Forward Inlt,2021-03-05,2021-03-10,S2B_MSIL2A_20210310T194229_R042_T09UWS_20210311T051554,50.486944,-128.033611,8.525892,5,2100.0,78.57142857142857,Dive,
A27_2021-03-10_50.490278_-128.047778.png,no-spawn,A27,Area 27,Flint Rk,2021-03-05,2021-03-10,S2B_MSIL2A_20210310T194229_R042_T09UWS_20210311T051554,50.490278,-128.047778,8.525892,5,375.0,12.5,Dive,
A27_2021-03-10_50.503681_-128.029576.png,no-spawn,A27,Area 27,Hazard Pt,2021-03-05,2021-03-10,S2B_MSIL2A_20210310T194229_R042_T09UWS_20210311T051554,50.503681,-128.029576,8.525892,5,2475.0,98.0,Dive,
A27_2021-03-10_50.51_-128.018889.png,no-spawn,A27,Area 27,Quashtin Cr,2021-03-05,2021-03-10,S2B_MSIL2A_20210310T194229_R042_T09UWS_20210311T051554,50.51,-128.018889,8.525892,5,1375.0,17.0,Dive,
A27_2022-03-07_50.234167_-127.776667.png,spawn,A27,Area 27,McDougal Is,2022-03-04,2022-03-07,S2A_MSIL2A_20220307T193251_R142_T09UWR_20240525T115051,50.234167,-127.776667,21.273881,3,0,0,Incomplete,
A27_2022-03-07_50.486944_-128.033611.png,spawn,A27,Area 27,Forward Inlt,2022-03-07,2022-03-07,S2A_MSIL2A_20220307T193251_R142_T09UWR_20240525T115051,50.486944,-128.033611,21.273881,0,0,0,Incomplete,
